Job Title,Company Name,Date,Location,Skill,Link,Salary,Requirements
Odoo Development Internship Program,Global Brands,2 months ago,"New Cairo, Cairo, Egypt ",Entry Level · IT/Software Development · Computer Science · Information Technology (IT) · Odoo Development · Programming · Python · Odoo · Development,https://wuzzuf.net/internship/DTYsi9jgUCXt-Odoo-Development-Internship-Program-Global-Brands-Cairo-Egypt,,
Backend Developer,Confidential,2 months ago,"New Cairo, Cairo, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · backend · Computer Science · CSS · Docker · Git · HTML · Information Technology (IT),https://wuzzuf.net/jobs/p/tbprum16rkag-backend-developer-cairo-egypt,,
Coding Instructor,CodeTreps,2 months ago,"Mahta Alraml, Alexandria, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Education/Teaching · Training/Instructor · Teaching · instructor · Schools · Education · MIT AppInventor · Code.org · Scratch,https://wuzzuf.net/jobs/p/njvlvy3mjj0u-coding-instructor-codetreps-alexandria-egypt,,
Linux Enablement - Software Engineering Manager,Canonical,2 months ago,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · information technology (it) · computer science · linux · computer engineering · python · postgresql · software engineering,https://wuzzuf.net/jobs/p/g/eaye5zk9l82f-linux-enablement-software-engineering-manager-canonical-riyadh-saudi-arabia,,
Full-Stack PHP Developer (CodeIgniter),Confidential,2 months ago,"Cairo, Egypt ",Experienced · 5 - 10 Yrs of Exp · IT/Software Development · PHP (CodeIgniter framework). · Full Stack · JavaScript · MySQL · CSS · HTML · Software Development · Xml Web Services · Angular,https://wuzzuf.net/jobs/p/iynoykafv9jz-full-stack-php-developer-codeigniter-cairo-egypt,,
Software Tester,Sky logistics,2 months ago,"Sheikh Zayed, Giza, Egypt ",Experienced · 3 - 4 Yrs of Exp · IT/Software Development · Software Development · Software Engineering · Software Testing · Testing · Computer Science,https://wuzzuf.net/jobs/p/dkyhjnugjecr-software-tester-sky-logistics-giza-egypt,,
Web Development Internship,Osolutions,22 days ago,"Nasr City, Cairo, Egypt ",Entry Level · 0 - 1 Yrs of Exp · IT/Software Development · PHP Web Development · PHP · PHP Programming · PHP Frameworks · PHP Development · Computer Science · Software Development · Web Development · Back-End Development,https://wuzzuf.net/internship/v0cc8lcsrgf1-web-development-internship-osolutions-cairo-egypt,,
AI Engineering Manager,Link Development,3 days ago,"Cairo, Egypt ",Manager · 5+ Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Computer Science · BI · Software Engineering · SQL · Software Development · Power BI · SSRS,https://wuzzuf.net/jobs/p/x9ma4minmoqm-ai-engineering-manager-link-development-cairo-egypt,,
Full-Stack Developer,Confidential,7 days ago,"Cairo, Egypt ",Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Angular · Computer Science · CSS · HTML · SQL · Information Technology (IT) · JavaScript,https://wuzzuf.net/jobs/p/aurdznyptihj-full-stack-developer-cairo-egypt,,
Full Stack Developer,Tripnas,7 days ago,"Tebin, Cairo, Egypt ",Experienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack · React · JavaScript · MongoDB · Node.js · Angular · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/mrwvjnqw0had-full-stack-developer-tripnas-cairo-egypt,,
Senior Full stack Java developer,MTSIT,8 days ago,"Maadi, Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · Full Stack · Information Technology (IT) · Software Development · CSS · spring Framework · Java SE,https://wuzzuf.net/jobs/p/lryzdqmbz0ry-senior-full-stack-java-developer-mts-it-cairo-egypt,,
AI Engineer,ProVision Group,8 days ago,"Maadi, Cairo, Egypt ",Experienced · 2 - 7 Yrs of Exp · IT/Software Development · AI · Computer Vision · Data Science · Machine Learning,https://wuzzuf.net/jobs/p/qgconbaaa2gf-ai-engineer-provision-group-cairo-egypt,,
Actuary Pricing Manager,Chubb life Insurance,17 days ago,"Katameya, Cairo, Egypt ",Manager · 5 - 6 Yrs of Exp · Accounting/Finance · Marketing/PR/Advertising · Pricing · Finance · English · Communication · Market Research,https://wuzzuf.net/jobs/p/yohi5gfpcp4c-actuary-pricing-manager-chubb-life-insurance-cairo-egypt,,
IT Specialist,ILUJIS,10 days ago,"Maadi, Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · IT · Microsoft Office · Networking · Software · Technical Support · Troubleshooting · Computer Science · Customer Service,https://wuzzuf.net/jobs/p/0eui1kovo46h-it-specialist-ilujis-cairo-egypt,,
Senior GIS Technician,Citylogix ME,12 days ago,"New Cairo, Cairo, Egypt ",Experienced · 5 - 10 Yrs of Exp · IT/Software Development · Arc GIS · GIS · QGIS,https://wuzzuf.net/jobs/p/qedtihghtiwj-senior-gis-technician-citylogix-me-cairo-egypt,,
Research Scientist (AI) - Interactome,GenBio AI,26 days ago,"Dubai, United Arab Emirates ",Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · computer science · information technology (it) · engineering · python · research · software engineering · machine learning,https://wuzzuf.net/jobs/p/g/wovnlx6nn74u-research-scientist-ai-interactome-genbio-ai-dubai-united-arab-emirates,,
Network and Cybersecurity Engineer,Ovo Egypt,14 days ago,"6th of October, Giza, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CCNA · Cisco · CCNP · DNS · Engineering · Information Technology (IT) · Network · Networking,https://wuzzuf.net/jobs/p/u1ov3d6jlhyb-network-and-cybersecurity-engineer-ovo-egypt-giza-egypt,,
Full Stack Developer,Confidential,17 days ago,"Santa Clara, United States ",Experienced · 8 - 12 Yrs of Exp · IT/Software Development · JavaScript · Full Stack · Angular · Computer Science · CSS · HTML · Information Technology (IT) · Java · jQuery,https://wuzzuf.net/jobs/p/iq2rqh3tkncp-full-stack-developer-santa-clara-united-states,,
GIS Analyst,Geotech3D,19 days ago,"Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · Engineering - Construction/Civil/Architecture · Information Technology (IT) · Computer Science · GIS · BI,https://wuzzuf.net/jobs/p/oqbgsqfuhrbj-gis-analyst-geotech3d-cairo-egypt,,
Software Technical Recruiter Needed,Trio,20 days ago,"Cairo, Egypt ",Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Human Resources (HR) · Communication · Interviewing · Management · Recruitment · Software · technical · Software Engineering · Sourcing,https://wuzzuf.net/jobs/p/8qngcnkftk8r-software-technical-recruiter-needed-trio-cairo-egypt,,
Full Stack Developer,3rcontracting,1 month ago,"Maadi, Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Web Development · Software Engineering,https://wuzzuf.net/jobs/p/f0srvtlxsi10-full-stack-developer-3rcontracting-cairo-egypt,,
Backend Developer,Wills business,21 days ago,"Nasr City, Cairo, Egypt ","Entry Level · 0 - 3 Yrs of Exp · IT/Software Development · ● Experience setting up or using CI/CD pipelines (especially GitHub Actions). · ● Familiarity with containerization (e.g., Docker). · ● Experience with API testing tools (e.g., Postman, SoapUI).",https://wuzzuf.net/jobs/p/kplqpvm540hq-backend-developer-wills-business-cairo-egypt,,
ICT Teacher,Egypt Education Platform,22 hours ago,"Riyadh, Saudi Arabia ",Experienced · 2 - 10 Yrs of Exp · Education/Teaching · Computer Science · ICT · Education · Information Technology (IT),https://wuzzuf.net/jobs/p/1yfewjveg31h-ict-teacher-egypt-education-platform-riyadh-saudi-arabia,,
Senior BIM Electrical Low Current Engineer,CSI,3 days ago,"Heliopolis, Cairo, Egypt ",Experienced · 6 - 9 Yrs of Exp · Engineering - Mechanical/Electrical · Electrical · BIM · Electrical Engineering · electrical power engineering · Low Current · Power · Revit · Engineering · Electrical power,https://wuzzuf.net/jobs/p/mnzf8busjxhg-senior-bim-electrical-low-current-engineer-csi-cairo-egypt,,
Odoo Developer,ISD,3 days ago,"Heliopolis, Cairo, Egypt ",Experienced · 3 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Docker · Microsoft Office · API · XML · HTML · CSS · Git,https://wuzzuf.net/jobs/p/l0lvfhjihnsd-odoo-developer-isd-cairo-egypt,,
Application Support Engineer,Etisal EG,8 days ago,"New Cairo, Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Automation · Communication · computer · Computer Science · Customer Support · Engineering · Information technology,https://wuzzuf.net/jobs/p/nervnpyjiheu-application-support-engineer-etisal-eg-cairo-egypt,,
Software Developer,RISEUP (Endemag for Administrative Skills Development),21 days ago,"Cairo, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Amazon AWS · Software Development · Software Engineering · React.js · Node.js · Typescript · JavaScript · Computer Science,https://wuzzuf.net/jobs/p/ndyinadoeb4y-software-developer-riseup-endemag-for-administrative-skills-development-cairo-egypt,,
"Backend Developer ""Outsource""",Efada Technology,23 days ago,"6th of October, Giza, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · API · Computer Science · Information Technology (IT) · Design · Java · REST · Software Development,https://wuzzuf.net/jobs/p/v3jrsvilp6gb-backend-developer-outsource-efada-technology-giza-egypt,,
DevOps,Confidential,29 days ago,"Alexandria, Egypt ",Experienced · 3 - 5 Yrs of Exp · males_only · Engineering - Telecom/Technology · DevOps · Engineering,https://wuzzuf.net/jobs/p/rjljyj8cfxvt-devops-alexandria-egypt,,
Power BI Developer with C# (Reporting Team),Akvelon,27 days ago,"Cairo, Egypt ",Experienced · 3 - 20 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Microsoft Power BI · Power BI · .Net · Azure · BI,https://wuzzuf.net/jobs/p/fe6yeylj6ebl-power-bi-developer-with-c-reporting-team-akvelon-cairo-egypt,,
AI Engineer,AgChat,10 days ago,"Cairo, Egypt ",Entry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · computer science · AI,https://wuzzuf.net/jobs/p/wpkwlfmtskc6-ai-engineer-agchat-cairo-egypt,,
System Administrator,Egypt for Panel and Steel Industries S.A.E,28 days ago,"6th of October, Giza, Egypt ",Experienced · 5 - 7 Yrs of Exp · males_preferred · Installation/Maintenance/Repair · IT/Software Development · Computer Science · Information Technology (IT) · Software Development · LAN · MCSE · MCSA · networks · System Administration,https://wuzzuf.net/jobs/p/j5mathpgrdlx-system-administrator-egypt-for-panel-and-steel-industries-s-a-e-giza-egypt,,
System Administrator,Confidential,28 days ago,"Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Administrator · Computer Science · Engineering · Information Technology (IT) · system · System Administration · System administrator,https://wuzzuf.net/jobs/p/zoy9myq4wmoz-system-administrator-cairo-egypt,,
Odoo Implementer,ISD,29 days ago,"Heliopolis, Cairo, Egypt ",Experienced · 4 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ERP · Odoo · Accounting · Microsoft Office · Software Testing · Business Analysis · Implementation · Odoo Studio,https://wuzzuf.net/jobs/p/ujdwvl7ufmc4-odoo-implementer-isd-cairo-egypt,,
Application Support Engineer,etisal for advanced industries,14 days ago,"6th of October, Giza, Egypt ",Entry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · English · Firewall · Engineering · Information Technology (IT) · Technical Support,https://wuzzuf.net/jobs/p/zrd50f3dayvy-application-support-engineer-etisal-for-advanced-industries-giza-egypt,,
Technical Presales Engineer,Prosoft Information Systems,29 days ago,"Smart Village, Giza, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Communication · Presales · technical · Engineering · Information Technology (IT) · Technical Support · Management · Security,https://wuzzuf.net/jobs/p/gmvyp2ogjpbu-technical-presales-engineer-prosoft-information-systems-giza-egypt,,
Tier 1 Technical Support Specialist – Collaborative Robotics,Devonics Automation,29 days ago,"San Diego, United States ",Experienced · 3 - 7 Yrs of Exp · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Technical Support · Customer Service · Robotics · Remote Support · Ticketing Systems · English · Customer Support,https://wuzzuf.net/jobs/p/59fmgl5onm4o-tier-1-technical-support-specialist-–-collaborative-robotics-devonics-automation-san-diego-united-states,,
Mid-Level Fullstack Developer (Django + React),Nexus Analytica,1 month ago,"Shorouk City, Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Other · Computer Science · Full Stack Development · Django · React,https://wuzzuf.net/jobs/p/zhkb6cfob2ek-mid-level-fullstack-developer-django-react-nexus-analytica-cairo-egypt,,
Frontend Developer (React),Nexus Analytica,1 month ago,"Shorouk City, Cairo, Egypt ",Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Other · Computer Science · Engineering · React · Software Development,https://wuzzuf.net/jobs/p/bef104ejdu8k-frontend-developer-react-nexus-analytica-cairo-egypt,,
Technical Team Lead – Software Development,ECC Group,1 month ago,"Nasr City, Cairo, Egypt ",Manager · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Information Technology (IT) · Software Design · Software Development · Software Engineering · Leadership · Software · Development,https://wuzzuf.net/jobs/p/ibg9pivxz6pv-technical-team-lead-–-software-development-ecc-group-cairo-egypt,,
Senior Devops Engineer,Al Ateeq Software,1 month ago,"Cairo, Egypt ",Experienced · 5 - 9 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Devops Engineer · Engineering · Information Technology (IT) · Software Development · senior,https://wuzzuf.net/jobs/p/twra68or4oqy-senior-devops-engineer-al-ateeq-software-cairo-egypt,,
LinuxSystem Administrator,Confidential,27 days ago,"Mansheya, Alexandria, Egypt ",Experienced · 4 - 7 Yrs of Exp · males_only · IT/Software Development · Information Technology (IT) · Linux · Kubernetes · System Administration,https://wuzzuf.net/jobs/p/znsxqjoxr3cu-linuxsystem-administrator-alexandria-egypt,,
Software Development Engineer (SDE) - Multinational Company,RISEUP (Endemag for Administrative Skills Development),27 days ago,"Cairo, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Amazon AWS · Software Development · Software Engineering · React.js · Node.js · Typescript · JavaScript · Computer Science,https://wuzzuf.net/jobs/p/0sztnob0vw2q-software-development-engineer-sde-multinational-company-riseup-endemag-for-administrative-skills-development-cairo-egypt,,
"BI DWH BIG Data ""Outsource""",Efada Technology,29 days ago,"6th of October, Giza, Egypt ",Experienced · 4 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · Computer Science · Database · Information Technology (IT) · Oracle · SQL · PLSql,https://wuzzuf.net/jobs/p/8oc5l4irpbdq-bi-dwh-big-data-outsource-efada-technology-giza-egypt,,
Odoo ERP System Administrator,Men's Club,1 month ago,"Shubra, Cairo, Egypt ",Experienced · 5 - 6 Yrs of Exp · IT/Software Development · Odoo · ERP · English · Computer Science · Odoo ERP · Information Systems,https://wuzzuf.net/jobs/p/yxhpvxteqo1j-odoo-erp-system-administrator-mens-club-cairo-egypt,,
Unity Technical Artist,HYS Games,1 month ago,"Sheikh Zayed, Giza, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Game development · Game engine · mobile games · Unity Developer · Casual Hyper/Hybrid Games · Games · Information Technology (IT) · Computer Science,https://wuzzuf.net/jobs/p/ikqvsq0hrack-unity-technical-artist-hys-games-giza-egypt,,
Security operations section Head,El Delta Electronic Systems,1 month ago,"Nasr City, Cairo, Egypt ",Manager · 7 - 10 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · CCIE · CCNP · CCNA · computer · Computer Science · Information Technology (IT) · Microsoft Office,https://wuzzuf.net/jobs/p/ty3vdm4v3dv3-security-operations-section-head-el-delta-electronic-systems-cairo-egypt,,
Senior Full Stack Developer (.NET Core & Angular),softprograms,1 month ago,"Nasr City, Cairo, Egypt ",Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net · CSS3 · Git · HTML5 · Information Technology (IT) · JavaScript · jQuery · Software Development,https://wuzzuf.net/jobs/p/r4akvysnzr4l-senior-full-stack-developer-net-core-angular-softprograms-cairo-egypt,,
"PKI Operation Team Leader ""Public Key Infrastructure""",El Delta Electronic Systems,1 month ago,"Nasr City, Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · males_preferred · IT/Software Development · Engineering - Telecom/Technology · Computer Programs · Computer Engineering · Telecom · Information Technology (IT) · Telecommunication · Xcode,https://wuzzuf.net/jobs/p/lidvpzbchg1v-pki-operation-team-leader-public-key-infrastructure-el-delta-electronic-systems-cairo-egypt,,
IT Engineer,Sumitomo Electric Egypt,2 months ago,"6th of October, Giza, Egypt ",Experienced · 2 - 2 Yrs of Exp · males_only · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Engineering · English · Computer · Communication Skills,https://wuzzuf.net/jobs/p/nna0i8mumzts-it-engineer-sumitomo-electric-egypt-giza-egypt,,
AI & Computer Science Intern (Fresh Graduate),GetSircles Digital Agency,2 months ago,"New Cairo, Cairo, Egypt ",Entry Level · Other · computer · AI · Computer Science · Information Technology (IT),https://wuzzuf.net/internship/jkoigewkbh8y-ai-computer-science-intern-fresh-graduate-getsircles-digital-agency-cairo-egypt,,
Senior Software Tester,qTech.,1 month ago,"Mansoura, Dakahlia, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Engineering · Project Management · Information Systems · Information Technology (IT) · Computer Science · Computer Engineering · Software,https://wuzzuf.net/jobs/p/jszvsz0ybfhq-senior-software-tester-qtech-dakahlia-egypt,,
Backend Engineer (Laravel),Raad Alfaris Information Technology Co,2 months ago,"Cairo, Egypt ",Experienced · 4+ Yrs of Exp · IT/Software Development · Laravel · backend · API,https://wuzzuf.net/jobs/p/7xtqpznoakvr-backend-engineer-laravel-raad-alfaris-information-technology-co-cairo-egypt,,
Delivery System Operation Manager,Aldabboos Group,2 months ago,"Sheraton, Cairo, Egypt ",Experienced · 2 - 3 Yrs of Exp · Accounting/Finance · Installation/Maintenance/Repair · IT/Software Development · Communication · Information Technology (IT) · System Administration · System administrator · Accounting · Financial Accounting · ERP System,https://wuzzuf.net/jobs/p/4jwfMCqIXEQP-Delivery-System-Operation-Manager-Aldabboos-Group-Cairo-Egypt,,
Odoo Function Consultant,ABELA,2 months ago,"Giza, Egypt ",Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Computer Science · ERP · Information Technology (IT) · Odoo · Consultant,https://wuzzuf.net/jobs/p/ha0hfyr4u2ov-odoo-function-consultant-abela-giza-egypt,,
Devops Engineer,Aloha Dot for software development and financial services,2 months ago,"Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Trello · CI/CD · Computer Science · DevOps · AWS · Information Technology (IT) · Software Development,https://wuzzuf.net/jobs/p/5ldo2luvh66c-devops-engineer-aloha-dot-for-software-development-and-financial-services-cairo-egypt,,
Embedded and IoT Engineer (Intern),Lotus Power,2 months ago,"Maadi, Cairo, Egypt ",Student · 1 - 3 Yrs of Exp · R&D/Science · IT/Software Development · Engineering - Telecom/Technology · IOT · Cloud · Computer Science · embedded · Engineering · Hardware · Computer Engineering,https://wuzzuf.net/jobs/p/noofncwnsqmi-embedded-and-iot-engineer-intern-lotus-power-cairo-egypt,,
QA Engineer,IKEN Technology,2 months ago,"Maadi, Cairo, Egypt ",Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Agile · Computer Science · QA · QC · quality · Quality Assurance · Quality Control,https://wuzzuf.net/jobs/p/6eqho2o92qyr-qa-engineer-iken-technology-cairo-egypt,,
AI Architect / Developer,TRIMETIS,2 months ago,"Maadi, Cairo, Egypt ",Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AI · Computer Science · Information Technology (IT) · Software · Java · PostgreSQL · Engineering · Software Development,https://wuzzuf.net/jobs/p/uezyxborahpd-ai-architect-developer-trimetis-cairo-egypt,,
Open Source Intelligence (OSINT) Team Lead,Confidential,2 months ago,"Cairo, Egypt ",Experienced · 10 - 15 Yrs of Exp · IT/Software Development · Social Media · source intelligence · OSINT · Cybersecurity · Information Technology (IT),https://wuzzuf.net/jobs/p/fm2yfkzweuv2-open-source-intelligence-osint-team-lead-cairo-egypt,,
Operations Analyst,Brand Connection,2 months ago,"New Cairo, Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · Operations/Management · Analyst/Research · Sales/Retail · Analysis · Analyst · Customer Support · Information Technology (IT) · Operations,https://wuzzuf.net/jobs/p/ERu89R1iVbCa-Operations-Analyst-Brand-Connection-Cairo-Egypt,,
Senior Software Engineer - packaging - optimize Ubuntu Server,Canonical,10 days ago,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Software Development · Software Engineering · Computer Engineering · Quality Control,https://wuzzuf.net/jobs/p/g/nnwtjvbh0x8b-senior-software-engineer-packaging-optimize-ubuntu-server-canonical-riyadh-saudi-arabia,,
Backend developer,Net2Source Inc.,13 days ago,"Dubai, United Arab Emirates ",Entry Level · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · PHP · javaScript · Back-End,https://wuzzuf.net/jobs/p/g/fz0g8epznl2i-backend-developer-net2source-inc-dubai-united-arab-emirates,,
Systems Integrations Engineering Manager,Canonical,15 days ago,"Riyadh, Saudi Arabia ",Experienced · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Engineering · Project Management · Software Engineering · Software Development · Computer Engineering,https://wuzzuf.net/jobs/p/g/kouxlxzfk2we-systems-integrations-engineering-manager-canonical-riyadh-saudi-arabia,,
Financial Data Analyst,Etihad Airport Services,27 days ago,"Dubai, United Arab Emirates ",Experienced · Accounting/Finance · IT/Software Development · Analyst/Research · Finance · Analysis · Financial Analysis · Accounting · Data Analysis · Microsoft Office · Computer Science,https://wuzzuf.net/jobs/p/g/jrvthu7qjoom-financial-data-analyst-etihad-airport-services-dubai-united-arab-emirates,,
Trainee,Space42,8 days ago,"Dubai, United Arab Emirates ",Student · Accounting/Finance · Administration · Human Resources · Recruitment · Accounting · Human Resources (HR) · Microsoft Office · Finance · Administration · Information Technology (IT),https://wuzzuf.net/jobs/p/g/zujy7cmgpqsi-trainee-space42-dubai-united-arab-emirates,,
Security Engineer - Ubuntu,Canonical,13 days ago,"Makkah, Saudi Arabia ",Entry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Security · Computer Engineering · Software Engineering · Networking,https://wuzzuf.net/jobs/p/g/fhtjyqyuh4it-security-engineer-ubuntu-canonical-makkah-saudi-arabia,,
